start_time,end_time,duration,average_B,MFR_axis_x,MFR_axis_y,MFR_axis_z,altitude,azimuth,beta,diameter,speed,density
2023-02-08/01:05:00,2023-02-08/01:56:00,51,6.037,0.777295649,-0.539856374,0.323058367,71.15,-34.78,0.556393325,455155.3368,529.346,3.072
2023-02-08/02:34:00,2023-02-08/03:04:00,30,7.073,0.565443754,-0.824051201,0.034829609,88,-55.54,0.386517406,364719.2648,533.615,3.004
2023-02-08/07:47:00,2023-02-08/08:22:00,35,9.525,0.800694406,-0.567550063,0.191769451,78.94,-35.33,0.148597658,320658.9484,550.785,2.733
2023-02-08/09:19:00,2023-02-08/09:49:00,30,8.867,0.851709366,-0.376142204,0.36484009,68.6,-23.83,0.167546824,236190.9706,555.658,2.656
2023-02-09/02:02:00,2023-02-09/03:36:00,94,7.643,-0.59362942,-0.788508534,0.160805702,80.75,-126.97,0.396194547,1204593.595,569.907,3.878
2023-02-09/14:48:00,2023-02-09/15:50:00,62,4.42,0.146272868,-0.524796128,-0.838566244,146.99,-74.43,0.787200451,879549.2024,517.252,2.275
2023-02-10/21:25:00,2023-02-10/22:51:00,86,4.784,-0.061317299,-0.874112964,-0.481836855,118.81,-94.01,0.578550696,1094376.326,498.115,3.064
2023-02-10/23:06:00,2023-02-11/01:23:00,137,4.355,-0.736354291,-0.314058691,-0.599290907,126.82,-156.9,0.75825578,1261293.075,493.581,4.156
2023-02-11/06:31:00,2023-02-11/07:15:00,44,5.17,-0.7667768,-0.605541348,-0.213009581,102.3,-141.7,0.288175732,422305.8339,473.235,4.096
2023-02-11/08:13:00,2023-02-11/09:06:00,53,5.989,-0.167501628,-0.784338117,-0.59729147,126.68,-102.05,0.212329775,749073.5353,473.813,3.4
2023-02-11/09:39:00,2023-02-11/10:12:00,33,5.097,-0.889023423,-0.445421249,-0.106006257,96.09,-153.39,0.50989604,255425.9509,475.059,3.268
2023-02-11/10:22:00,2023-02-11/11:08:00,46,5.218,-0.702378988,-0.65473187,-0.279266804,106.22,-137.01,0.675109327,646144.2694,475.903,3.182
2023-02-11/13:44:00,2023-02-11/14:55:00,71,5.871,0.379387647,-0.759785652,0.528006554,58.13,-63.47,0.454149872,810523.2336,479.848,2.809
2023-02-11/14:57:00,2023-02-11/15:29:00,32,6.584,0.49892959,-0.654169917,0.568446219,55.36,-52.67,0.353134036,281691.5854,480.902,2.716
2023-02-11/16:20:00,2023-02-11/16:52:00,32,6.79,0.255004615,-0.199483484,0.946139038,18.89,-38.04,0.227491572,549645.1276,482.595,2.572
2023-02-12/00:25:00,2023-02-12/01:21:00,56,4.541,0.383727401,-0.923329711,0.014685713,89.16,-67.43,0.828962982,692696.2977,466.339,2.147
2023-02-12/02:16:00,2023-02-12/03:12:00,56,4.483,0.991368532,0.130230486,0.015119027,89.13,7.48,0.751692414,96084.71415,435.69,2.26
2023-02-12/07:36:00,2023-02-12/08:47:00,71,3.8,0.329412609,-0.55914712,-0.760816634,139.54,-59.5,0.480405658,838837.0255,432.984,1.835
2023-02-14/11:00:00,2023-02-14/11:42:00,42,5.127,-0.948568821,0.315752596,-0.022749841,91.3,161.59,0.718568265,139739.4391,350.755,7.91
2023-02-14/23:37:00,2023-02-15/00:07:00,30,6.274,-0.760499179,0.292051494,-0.579954267,125.45,158.99,0.386062831,191009.7914,324.014,8.008
2023-02-15/10:38:00,2023-02-15/11:16:00,38,9.123,0.1677095,0.493344396,-0.853513241,148.6,71.22,0.216088861,348658.1164,337.737,11.46
2023-02-15/15:05:00,2023-02-15/16:27:00,82,10.737,-0.364329278,-0.649612188,-0.66728425,131.86,-119.29,0.116951495,717474.7527,326.115,12.667
